     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,03/23/2019-03/29/2019,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,                                                                   
R001,WHITEHALL STREET              ,00066184,00003108,00000460,00001143,00000227,00032448,00037964,00000000,00000000,00000000,00000486,00001045,00000832,00000366,00006402,00002281,00000878,00000000,00001710,00000000,00000000,00000000,00003512,00000000,00000858,00000000,                                                                                                    
R003,CYPRESS HILLS                 ,00002653,00000181,00000008,00000044,00000000,00002078,00001151,00000000,00000000,00000000,00000000,00000010,00000051,00000005,00000076,00000034,00000026,00000000,00000023,00000000,00000000,00000000,00000897,00000000,00000081,00000000,                                                                                                    
R004,75TH STREET & ELDERTS LANE    ,00005952,00000390,00000042,00000115,00000000,00004195,00003104,00000000,00000000,00000000,00000000,00000041,00000215,00000005,00000305,00000055,00000074,00000000,00000039,00000000,00000000,00000000,00003138,00000000,00000096,00000000,                                                                                                    
R005,85TH STREET & FOREST PKWAY    ,00007000,00000564,00000040,00000144,00000001,00004220,00003638,00000000,00000000,00000000,00000010,00000052,00000190,00000004,00000242,00000058,00000059,00000000,00000054,00000000,00000000,00000000,00001666,00000000,00000165,00000000,                                                                                                    
R006,WOODHAVEN BOULEVARD           ,00006712,00000481,00000060,00000168,00000000,00006019,00004388,00000000,00000000,00000000,00000009,00000056,00000203,00000008,00000349,00000082,00000083,00000000,00000058,00000000,00000000,00000000,00002120,00000000,00000178,00000000,                                                                                                    
R007,104TH STREET                  ,00006211,00000387,00000021,00000082,00000001,00004103,00002836,00000000,00000000,00000000,00000001,00000051,00000146,00000002,00000179,00000057,00000042,00000000,00000041,00000000,00000000,00000000,00001754,00000000,00000188,00000000,                                                                                                    
R009,121ST STREET                  ,00004203,00000310,00000037,00000106,00000006,00003048,00002014,00000000,00000000,00000000,00000007,00000046,00000114,00000001,00000127,00000067,00000027,00000000,00000036,00000000,00000000,00000000,00000847,00000000,00000083,00000000,                                                                                                    
R010,42ND STREET & 8TH AVENUE      ,00083060,00004948,00000412,00001107,00000085,00045334,00047377,00000000,00000000,00000000,00000609,00000855,00001294,00000098,00005378,00002152,00001335,00000000,00002781,00000000,00000000,00000000,00007499,00000000,00000489,00000000,                                                                                                    
R011,42ND STREET & 8TH AVENUE      ,00239565,00011342,00000653,00001725,00000090,00047401,00069849,00000000,00000000,00000000,00000365,00002901,00005132,00000068,00007020,00007693,00002056,00000000,00003370,00000000,00000000,00000001,00002983,00000000,00000504,00000000,                                                                                                    
R012,34TH STREET & 8TH AVENUE      ,00189431,00008677,00000572,00001437,00002689,00039015,00062781,00000000,00000000,00000000,00000292,00002285,00002885,00003975,00007288,00008810,00002124,00000000,00003303,00000000,00000000,00000000,00003131,00000000,00000515,00000000,                                                                                                    
