     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,03/16/2019-03/22/2019,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,                                                                   
R001,WHITEHALL STREET              ,00066303,00002890,00000469,00001067,00000243,00030768,00037958,00000000,00000000,00000000,00000471,00001050,00000809,00000349,00006534,00002258,00000837,00000000,00001700,00000000,00000000,00000000,00003617,00000000,00000816,00000000,                                                                                                    
R003,CYPRESS HILLS                 ,00002531,00000178,00000009,00000035,00000000,00002140,00001190,00000000,00000000,00000000,00000001,00000012,00000065,00000005,00000082,00000031,00000024,00000000,00000025,00000000,00000000,00000000,00000939,00000000,00000067,00000000,                                                                                                    
R004,75TH STREET & ELDERTS LANE    ,00005953,00000375,00000045,00000109,00000000,00004265,00003117,00000000,00000000,00000000,00000001,00000044,00000163,00000005,00000290,00000053,00000069,00000000,00000044,00000000,00000000,00000000,00003131,00000000,00000105,00000000,                                                                                                    
R005,85TH STREET & FOREST PKWAY    ,00006784,00000540,00000051,00000161,00000000,00004212,00003677,00000000,00000000,00000000,00000009,00000056,00000201,00000003,00000244,00000053,00000063,00000000,00000073,00000000,00000000,00000000,00001715,00000000,00000176,00000000,                                                                                                    
R006,WOODHAVEN BOULEVARD           ,00006832,00000501,00000071,00000179,00000001,00005896,00004424,00000000,00000000,00000000,00000009,00000064,00000168,00000010,00000343,00000077,00000076,00000000,00000063,00000000,00000000,00000000,00002065,00000000,00000165,00000000,                                                                                                    
R007,104TH STREET                  ,00006060,00000391,00000036,00000082,00000000,00003988,00002825,00000000,00000000,00000000,00000002,00000037,00000129,00000002,00000194,00000062,00000049,00000000,00000036,00000000,00000000,00000000,00001684,00000000,00000179,00000000,                                                                                                    
R009,121ST STREET                  ,00004035,00000277,00000045,00000093,00000006,00003127,00002112,00000000,00000000,00000000,00000002,00000035,00000125,00000003,00000134,00000062,00000026,00000000,00000043,00000000,00000000,00000000,00000891,00000000,00000073,00000000,                                                                                                    
R010,42ND STREET & 8TH AVENUE      ,00087006,00005124,00000476,00001125,00000127,00047302,00048590,00000000,00000000,00000000,00000625,00000803,00001161,00000097,00005362,00002169,00001335,00000000,00003071,00000000,00000000,00000000,00007647,00000000,00000486,00000000,                                                                                                    
R011,42ND STREET & 8TH AVENUE      ,00249345,00011603,00000716,00001814,00000099,00049010,00070523,00000000,00000000,00000000,00000368,00002951,00005087,00000074,00007251,00007950,00002157,00000000,00003674,00000000,00000000,00000000,00003024,00000000,00000521,00000000,                                                                                                    
R012,34TH STREET & 8TH AVENUE      ,00203212,00008999,00000576,00001541,00002980,00042575,00066724,00000000,00000000,00000000,00000303,00002319,00002901,00004046,00007525,00008916,00002202,00000000,00003823,00000000,00000000,00000000,00003120,00000000,00000567,00000000,                                                                                                    
