     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,03/16/2019-03/22/2019,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,                                                                   
R013,34TH STREET & 8TH AVENUE      ,00052329,00002376,00000234,00000709,00000730,00018484,00029840,00000000,00000000,00000000,00000235,00000851,00000404,00001233,00003836,00002381,00000912,00000000,00001260,00000000,00000000,00000000,00001038,00000000,00000263,00000000,                                                                                                    
R014,FULTON STREET                 ,00165565,00005354,00000474,00001096,00000824,00055105,00087454,00000000,00000000,00000000,00000622,00002803,00001004,00001420,00014202,00005417,00002596,00000000,00003252,00000000,00000000,00000000,00006806,00000000,00002293,00000000,                                                                                                    
R015,FIFTH AVENUE                  ,00074390,00003379,00000123,00000460,00000661,00016392,00031560,00000000,00000000,00000000,00000184,00002004,00000423,00001068,00005469,00004519,00001108,00000000,00001600,00000000,00000000,00000000,00000470,00000000,00000187,00000000,                                                                                                    
R016,LEXINGTON AVENUE              ,00018444,00001050,00000071,00000160,00000052,00005717,00011311,00000000,00000000,00000000,00000075,00000402,00000145,00000107,00001576,00000830,00000366,00000000,00000264,00000000,00000000,00000000,00000269,00000000,00000095,00000000,                                                                                                    
R017,LEXINGTON AVENUE              ,00093324,00006136,00000313,00000956,00000549,00024513,00052620,00000000,00000000,00000000,00000216,00002060,00000983,00000927,00007684,00004750,00001687,00000000,00001610,00000000,00000000,00000000,00004400,00000000,00000188,00000000,                                                                                                    
R018,ROOSEVELT AVE/JACKSON HTS     ,00087745,00007989,00001485,00003489,00000033,00076408,00097820,00000001,00000000,00000000,00000094,00000623,00002397,00000044,00007156,00001380,00001495,00000000,00001161,00000000,00000000,00000000,00009758,00000000,00001614,00000000,                                                                                                    
R019,179TH STREET & HILLSIDE AVE   ,00028938,00002154,00000448,00001114,00000008,00020326,00026390,00000000,00000000,00000000,00000037,00000629,00000911,00000016,00002772,00000628,00000259,00000000,00000198,00000000,00000000,00000000,00004109,00000000,00000767,00000000,                                                                                                    
R020,47-50 STREETS/ROCKEFELLER     ,00148452,00009101,00000553,00001474,00000608,00057955,00090895,00000000,00000000,00000000,00000529,00003969,00001337,00000648,00016911,00006135,00002776,00000000,00002871,00000000,00000000,00000000,00002545,00000000,00000492,00000000,                                                                                                    
R021,42ND STREET & 6TH AVENUE      ,00094712,00004725,00000453,00001220,00000107,00040844,00074932,00000000,00000000,00000000,00000674,00002755,00000746,00000102,00011306,00003830,00002180,00000000,00001757,00000000,00000000,00000000,00002019,00000000,00000456,00000000,                                                                                                    
R022,34TH STREET & 6TH AVENUE      ,00180358,00010449,00000935,00002420,00000759,00083910,00118097,00000000,00000000,00000000,00000830,00002498,00002713,00000822,00014588,00005300,00003004,00000000,00003684,00000000,00000000,00000000,00004017,00000000,00001109,00000000,                                                                                                    
R023,34TH STREET & 6TH AVENUE      ,00147418,00007354,00000620,00001572,00000551,00045595,00088739,00000000,00000000,00000000,00000332,00003004,00001622,00000647,00010076,00005658,00002643,00000000,00002086,00000000,00000000,00000000,00002413,00000000,00000471,00000000,                                                                                                    
R024,SUTPHIN BOULEVARD             ,00043614,00002542,00000446,00000777,00000321,00032585,00020847,00000000,00000000,00000000,00000037,00000340,00001171,00000315,00001910,00000751,00000298,00000000,00012831,00000000,00000000,00000000,00002974,00000000,00000841,00000000,                                                                                                    
R025,JAMAICA CENTER-PARSONS BLVD   ,00043627,00002150,00000829,00001605,00000015,00049792,00032460,00000000,00000000,00000000,00000068,00000325,00001524,00000020,00004406,00000403,00000626,00000000,00000400,00000000,00000000,00000000,00006925,00000000,00001786,00000000,                                                                                                    
R027,WALL STREET                   ,00061161,00002846,00000175,00000525,00000874,00015304,00038714,00000000,00000000,00000000,00000140,00001032,00000339,00001519,00005576,00002868,00001219,00000000,00000932,00000000,00000000,00000000,00001490,00000000,00000118,00000000,                                                                                                    
R028,FULTON & WILLIAM STREETS      ,00063199,00004232,00000353,00001181,00000337,00023876,00047148,00000000,00000000,00000000,00000184,00001095,00000624,00000569,00008396,00002204,00001405,00000000,00001408,00000000,00000000,00000000,00002939,00000000,00000250,00000000,                                                                                                    
R029,PARK PLACE                    ,00122382,00006020,00000433,00001402,00000751,00039191,00068508,00000000,00000000,00000001,00001471,00002153,00001219,00001203,00010067,00004499,00002405,00000000,00002543,00000000,00000000,00000000,00006742,00000000,00006646,00000000,                                                                                                    
R030,CHAMBERS STREET               ,00045292,00003242,00000287,00000639,00000431,00017585,00030593,00000000,00000000,00000000,00000222,00000825,00000496,00000729,00004075,00002091,00000945,00000000,00000636,00000000,00000000,00000000,00009828,00000000,00005258,00000000,                                                                                                    
R031,34TH STREET & 7TH AVENUE      ,00110530,00006135,00000465,00001001,00001773,00028826,00039363,00000000,00000000,00000000,00000222,00001311,00001204,00002912,00005401,00005175,00001205,00000000,00001367,00000000,00000000,00000000,00002647,00000000,00000478,00000000,                                                                                                    
R032,42ND STREET/TIMES SQUARE      ,00095018,00005319,00000454,00001262,00000165,00036655,00072941,00000000,00000000,00000001,00000370,00002067,00000633,00000132,00009142,00004120,00002262,00000000,00001485,00000000,00000000,00000000,00001376,00000000,00000259,00000000,                                                                                                    
R033,42ND STREET/TIMES SQUARE      ,00164495,00009098,00000842,00001684,00000460,00079634,00075407,00000000,00000000,00000000,00001337,00002083,00002524,00000392,00011346,00004732,00002194,00000002,00003838,00000000,00000000,00000000,00005909,00000000,00001027,00000000,                                                                                                    
R034,125TH STREET & BROADWAY       ,00015264,00001516,00000112,00000378,00000030,00009668,00012167,00000000,00000000,00000000,00000034,00000128,00000461,00000032,00001199,00000476,00000327,00000000,00000292,00000000,00000000,00000000,00002032,00000000,00000144,00000000,                                                                                                    
R035,168TH STREET & BROADWAY       ,00039531,00003344,00000425,00000616,00000062,00024121,00033797,00000000,00000000,00000000,00000088,00000312,00001147,00000127,00003252,00001117,00001127,00000000,00000530,00000000,00000000,00000000,00004868,00000000,00000361,00000000,                                                                                                    
R036,DYCKMAN STREET                ,00012563,00001716,00000205,00000391,00000005,00012788,00008866,00000000,00000000,00000000,00000019,00000083,00000953,00000002,00000889,00000122,00000124,00000000,00000108,00000000,00000000,00000000,00003294,00000000,00000335,00000000,                                                                                                    
R037,207TH STREET                  ,00008071,00000857,00000234,00000275,00000002,00013099,00006928,00000000,00000000,00000000,00000019,00000020,00000538,00000005,00000677,00000053,00000065,00000000,00000073,00000000,00000000,00000000,00002251,00000000,00000302,00000000,                                                                                                    
R038,215TH STREET                  ,00003072,00000462,00000043,00000107,00000005,00002178,00002805,00000000,00000000,00000000,00000011,00000047,00000131,00000007,00000320,00000050,00000088,00000000,00000023,00000000,00000000,00000000,00000502,00000000,00000079,00000000,                                                                                                    
R039,225TH STREET                  ,00010546,00000816,00000104,00000167,00000054,00008779,00006022,00000000,00000000,00000000,00000012,00000026,00000376,00000036,00000608,00000145,00000140,00000000,00000068,00000000,00000000,00000000,00002658,00000000,00000267,00000000,                                                                                                    
R040,231ST STREET                  ,00016532,00002056,00000326,00000654,00000003,00014126,00012974,00000000,00000000,00000000,00000092,00000117,00000917,00000011,00001695,00000309,00000196,00000000,00000087,00000000,00000000,00000000,00002602,00000000,00000370,00000000,                                                                                                    
R041,BOWLING GREEN & BATTERY PL    ,00046795,00003117,00000297,00000763,00000418,00018921,00031889,00000000,00000000,00000000,00001729,00000813,00000569,00000736,00005224,00001915,00000829,00000000,00000706,00000000,00000000,00000000,00004074,00000000,00000275,00000000,                                                                                                    
R042,BOWLING GREEN & BROADWAY      ,00009292,00000352,00000049,00000091,00000054,00006357,00004167,00000000,00000000,00000000,00000216,00000082,00000074,00000092,00000547,00000269,00000097,00000000,00000387,00000000,00000000,00000000,00000356,00000000,00000097,00000000,                                                                                                    
R043,WALL STREET                   ,00044878,00002618,00000148,00000374,00000357,00014785,00030290,00000000,00000000,00000000,00000975,00000758,00000313,00000811,00003690,00001792,00000834,00000000,00000730,00000000,00000000,00000000,00001799,00000000,00000103,00000000,                                                                                                    
R044,BROOKLYN BRIDGE               ,00070194,00005540,00000324,00001207,00000336,00029511,00043814,00000000,00000000,00000000,00000341,00000859,00000874,00000749,00006285,00002223,00001244,00000000,00001416,00000000,00000000,00000000,00004854,00000000,00001635,00000000,                                                                                                    
R045,42ND STREET & GRAND CENTRAL   ,00082847,00004543,00000179,00000440,00001438,00012256,00026728,00000000,00000000,00000000,00000203,00001186,00000415,00001901,00003679,00004205,00000993,00000000,00000758,00000000,00000000,00000000,00000721,00000000,00000119,00000000,                                                                                                    
R046,42ND STREET & GRAND CENTRAL   ,00228223,00010976,00000642,00001337,00002553,00056733,00094461,00000000,00000000,00000000,00000612,00002983,00002402,00003809,00014040,00008871,00002939,00000000,00003784,00000000,00000000,00000000,00002186,00000000,00000563,00000000,                                                                                                    
R047,42ND STREET & GRAND CENTRAL   ,00105938,00005834,00000381,00000919,00000821,00030938,00068931,00000000,00000000,00000000,00000562,00002213,00000514,00001524,00010198,00004739,00001960,00000000,00001298,00000000,00000000,00000000,00001599,00000000,00000300,00000000,                                                                                                    
R048,42ND STREET & 3RD AVENUE      ,00034512,00001810,00000072,00000311,00000266,00008125,00021803,00000000,00000000,00000000,00000067,00000695,00000151,00000327,00002411,00001753,00000624,00000000,00000376,00000000,00000000,00000000,00000460,00000000,00000080,00000000,                                                                                                    
R049,51ST STREET & LEXINGTON AVE   ,00051615,00003075,00000225,00000525,00000103,00019360,00032353,00000000,00000000,00000000,00000265,00001122,00000332,00000116,00005698,00001999,00000972,00000000,00001201,00000000,00000000,00000000,00000806,00000000,00000158,00000000,                                                                                                    
R050,59TH STREET & LEXINGTON AVE   ,00052299,00003944,00000265,00000763,00000220,00020711,00037551,00000000,00000000,00000001,00000320,00001149,00000636,00000368,00005813,00002329,00000997,00000000,00000713,00000000,00000000,00000000,00001364,00000000,00000178,00000000,                                                                                                    
R051,59TH STREET & LEXINGTON AVE   ,00060706,00004932,00000410,00001042,00000107,00036909,00048202,00000000,00000000,00000000,00000231,00001068,00000649,00000227,00006884,00002210,00001343,00000000,00000737,00000000,00000000,00000000,00003701,00000000,00000449,00000000,                                                                                                    
R052,WOODLAWN ROAD                 ,00008370,00000571,00000235,00000475,00000017,00009450,00006267,00000000,00000000,00000000,00000025,00000065,00000586,00000007,00000674,00000112,00000029,00000000,00000038,00000000,00000000,00000000,00001146,00000000,00000381,00000000,                                                                                                    
R053,149TH STREET & 3RD AVENUE     ,00034874,00002106,00000586,00000959,00000024,00039862,00021219,00000000,00000000,00000000,00000047,00000116,00001487,00000010,00003016,00000195,00000233,00000000,00000176,00000000,00000000,00000000,00009372,00000000,00001222,00000000,                                                                                                    
R054,FIFTH AVENUE & 42ND STREET    ,00030318,00001590,00000133,00000349,00000126,00012569,00021345,00000000,00000000,00000000,00000209,00000649,00000289,00000097,00002788,00001084,00000633,00000000,00000501,00000000,00000000,00000000,00000620,00000000,00000116,00000000,                                                                                                    
R055,MAIN STREET                   ,00082763,00009626,00001079,00005542,00000056,00056878,00097781,00000000,00000000,00000000,00000167,00000717,00002716,00000029,00004688,00001058,00000648,00000000,00000882,00000000,00000000,00000000,00011403,00000000,00002193,00000000,                                                                                                    
R056,NEVINS STREET                 ,00019733,00001593,00000333,00000483,00000025,00011978,00015452,00000000,00000000,00000000,00000101,00000196,00000460,00000032,00002497,00000521,00000442,00000000,00000262,00000000,00000000,00000000,00003927,00000000,00000198,00000000,                                                                                                    
R057,BARCLAYS CENTER               ,00094285,00006424,00000955,00002065,00001349,00044140,00065982,00000000,00000000,00000000,00000179,00000943,00001664,00001924,00008798,00003385,00001866,00000000,00001577,00000000,00000000,00000000,00018830,00000000,00000953,00000000,                                                                                                    
R058,BERGEN STREET                 ,00005869,00000553,00000056,00000152,00000005,00002759,00007148,00000000,00000000,00000000,00000007,00000096,00000054,00000004,00001245,00000319,00000244,00000000,00000103,00000000,00000000,00000000,00000703,00000000,00000015,00000000,                                                                                                    
R059,GRAND ARMY PLAZA              ,00012468,00002094,00000156,00000385,00000011,00005174,00012516,00000000,00000000,00000000,00000014,00000245,00000348,00000011,00002031,00000482,00000443,00000000,00000154,00000000,00000000,00000000,00001848,00000000,00000066,00000000,                                                                                                    
R060,EASTERN PARKWAY               ,00008735,00001255,00000133,00000230,00000007,00004603,00008092,00000000,00000000,00000000,00000017,00000119,00000252,00000000,00001401,00000265,00000241,00000000,00000241,00000000,00000000,00000000,00001315,00000000,00000073,00000000,                                                                                                    
R061,NOSTRAND AVENUE               ,00006773,00000562,00000164,00000186,00000003,00005659,00006349,00000000,00000000,00000000,00000003,00000043,00000221,00000006,00000899,00000094,00000117,00000000,00000098,00000000,00000000,00000000,00002055,00000000,00000202,00000000,                                                                                                    
R062,UTICA AVENUE                  ,00041573,00002794,00001001,00001389,00000007,00038730,00032653,00000000,00000000,00000000,00000038,00000312,00001167,00000022,00004966,00000367,00000695,00000000,00000244,00000000,00000000,00000000,00007958,00000000,00001163,00000000,                                                                                                    
R063,SUTTER AVENUE                 ,00012808,00000948,00000223,00000273,00000010,00011076,00006754,00000000,00000000,00000000,00000007,00000068,00000578,00000001,00000782,00000108,00000192,00000000,00000050,00000000,00000000,00000000,00003720,00000002,00000350,00000000,                                                                                                    
R064,SARATOGA AVENUE               ,00010424,00000706,00000148,00000177,00000000,00008225,00005353,00000000,00000000,00000000,00000011,00000064,00000324,00000001,00000649,00000166,00000101,00000000,00000047,00000000,00000002,00000000,00003254,00000000,00000317,00000000,                                                                                                    
R065,ROCKAWAY AVENUE               ,00009105,00000769,00000231,00000267,00000002,00007277,00003746,00000000,00000000,00000000,00000011,00000027,00000906,00000006,00000569,00000025,00000326,00000000,00000051,00000001,00000001,00000000,00003469,00000002,00000278,00000000,                                                                                                    
R066,JUNIUS STREET                 ,00003872,00000451,00000062,00000117,00000000,00003887,00002063,00000000,00000000,00000000,00000001,00000022,00000171,00000000,00000183,00000013,00000032,00000000,00000012,00000000,00000000,00000000,00001787,00000000,00000142,00000000,                                                                                                    
R067,PENNSYLVANIA AVENUE           ,00008465,00000580,00000172,00000204,00000000,00007225,00003787,00000000,00000000,00000000,00000008,00000050,00000356,00000000,00000596,00000029,00000066,00000000,00000042,00000000,00000000,00000000,00003241,00000000,00000180,00000000,                                                                                                    
R068,VAN SICLEN AVENUE             ,00005302,00000407,00000081,00000116,00000000,00004414,00002641,00000000,00000000,00000000,00000003,00000038,00000232,00000000,00000363,00000030,00000153,00000000,00000028,00000000,00000000,00000000,00001425,00000000,00000140,00000000,                                                                                                    
R069,NEW LOTS AVENUE               ,00009175,00000659,00000219,00000233,00000004,00009200,00004927,00000000,00000000,00000000,00000016,00000031,00000470,00000000,00000758,00000075,00000117,00000000,00000060,00000000,00000000,00000000,00002405,00000000,00000275,00000000,                                                                                                    
R070,ST GEORGE TERMINAL            ,00030192,00001777,00000122,00000438,00000005,00005056,00009850,00000000,00000000,00000000,00000217,00001006,00000133,00000002,00001052,00002117,00000166,00000000,00000089,00000000,00000000,00000000,00003143,00000000,00000323,00000000,                                                                                                    
R072,34TH STREET - HUDSON YARDS    ,00059997,00003413,00000202,00000531,00000167,00023589,00028431,00000000,00000000,00000000,00000212,00000612,00000647,00000094,00004184,00001920,00000871,00000000,00001421,00000000,00000000,00000000,00000908,00000000,00000206,00000000,                                                                                                    
R079,FIFTH AVENUE & 60TH STREET    ,00039172,00002650,00000196,00000471,00000170,00015156,00021643,00000000,00000001,00000000,00000317,00000713,00000477,00000279,00003909,00001613,00000710,00000000,00000652,00000000,00000000,00000000,00000429,00000000,00000127,00000000,                                                                                                    
R080,57TH STREET & 7TH AVENUE      ,00083389,00007764,00000377,00001412,00000165,00034479,00064329,00000000,00000000,00000000,00000363,00001433,00001008,00000243,00009910,00003636,00002007,00000000,00001640,00000000,00000000,00000000,00002614,00000000,00000457,00000000,                                                                                                    
R081,49TH STREET & 7TH AVENUE      ,00059249,00002967,00000283,00000793,00000078,00029976,00039547,00000000,00000000,00000000,00000285,00001216,00000573,00000094,00006936,00002083,00001041,00000000,00001583,00000000,00000000,00000000,00002207,00000000,00000152,00000000,                                                                                                    
R082,28TH STREET & BROADWAY        ,00028315,00001292,00000131,00000307,00000025,00013674,00022993,00000000,00000000,00000000,00000113,00000476,00000229,00000024,00002877,00001004,00000746,00000000,00000620,00000000,00000000,00000000,00000400,00000000,00000065,00000000,                                                                                                    
R083,23RD STREET & 5TH AVENUE      ,00050294,00002512,00000252,00000571,00000118,00021514,00041855,00000000,00000000,00000000,00000441,00000965,00000363,00000102,00005344,00002117,00001237,00000000,00001090,00000000,00000000,00000000,00001944,00000000,00000170,00000000,                                                                                                    
R084,59TH STREET/COLUMBUS CIRCLE   ,00172949,00013507,00001003,00002879,00000442,00081778,00114878,00000000,00000000,00000000,00000523,00002156,00002200,00000696,00014147,00006232,00003365,00000000,00003656,00000000,00000000,00000000,00013821,00000000,00002647,00000000,                                                                                                    
R085,8TH STREET & BROADWAY         ,00035853,00002566,00000115,00000403,00000071,00013396,00026824,00000000,00000000,00000000,00000124,00000632,00000258,00000087,00004312,00001458,00000704,00000000,00000768,00000000,00000000,00000000,00001299,00000000,00000101,00000000,                                                                                                    
R086,PRINCE STREET & BROADWAY      ,00029944,00001198,00000122,00000213,00000036,00013655,00019489,00000000,00000000,00000000,00000128,00000439,00000181,00000035,00002612,00000882,00000554,00000000,00000701,00000000,00000000,00000000,00000591,00000000,00000161,00000000,                                                                                                    
R087,CITY HALL                     ,00011911,00001126,00000089,00000303,00000004,00004423,00009982,00000000,00000000,00000000,00000150,00000235,00000139,00000019,00001269,00000504,00000306,00000000,00000185,00000000,00000000,00000000,00001328,00000000,00000364,00000000,                                                                                                    
R088,CORTLANDT STREET              ,00054728,00001667,00000148,00000366,00000035,00017659,00028205,00000000,00000000,00000000,00000240,00001075,00000257,00000054,00004635,00001760,00000999,00000000,00001296,00000000,00000000,00000000,00001158,00000000,00000482,00000000,                                                                                                    
R089,JAY ST-METROTECH              ,00008936,00000494,00000052,00000116,00000008,00002804,00006612,00000000,00000000,00000000,00000076,00000164,00000114,00000005,00000818,00000439,00000211,00000000,00000161,00000000,00000000,00000000,00000846,00000000,00000081,00000000,                                                                                                    
R090,39TH AVENUE & 31ST STREET     ,00003848,00000257,00000040,00000065,00000004,00002964,00002915,00000000,00000000,00000000,00000009,00000047,00000161,00000000,00000404,00000092,00000095,00000000,00000162,00000000,00000000,00000000,00000239,00000000,00000014,00000000,                                                                                                    
R091,36TH AVENUE & 31ST STREET     ,00009728,00000706,00000046,00000147,00000013,00005391,00010182,00000000,00000000,00000000,00000009,00000131,00000273,00000010,00001103,00000253,00000297,00000000,00000103,00000000,00000000,00000000,00002237,00000000,00000087,00000000,                                                                                                    
R092,BROADWAY & 31ST STREET        ,00014878,00001187,00000107,00000279,00000005,00007301,00018495,00000000,00000000,00000000,00000004,00000252,00000432,00000006,00002500,00000496,00000681,00000000,00000195,00000000,00000000,00000000,00002833,00000000,00000116,00000000,                                                                                                    
R093,30TH AVENUE & 31ST STREET     ,00029673,00001624,00000180,00000357,00000012,00014954,00033262,00000000,00000000,00000000,00000020,00000347,00000588,00000026,00004862,00000832,00001089,00000000,00000275,00000000,00000000,00000000,00003058,00000000,00000277,00000000,                                                                                                    
R094,ASTORIA BLVD & 31ST STREET    ,00000051,00000003,00000000,00000001,00000000,00000022,00000030,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R095,DITMARS BLVD & 31ST STREET    ,00030624,00001828,00000153,00000304,00000017,00013359,00031534,00000000,00000000,00000000,00000020,00000511,00000850,00000008,00004003,00000891,00000905,00000000,00000212,00000000,00000000,00000000,00004027,00000000,00000248,00000000,                                                                                                    
R096,82ND STREET-JACKSON HEIGHTS   ,00027223,00002842,00000446,00000731,00000011,00024564,00017613,00000000,00000000,00000000,00000008,00000156,00001133,00000009,00001256,00000225,00000284,00000000,00000235,00000000,00000000,00000000,00004794,00000000,00000606,00000000,                                                                                                    
R097,JUNCTION BLVD-ROOSEVELT AVE   ,00049820,00001726,00000325,00000550,00000026,00049933,00022111,00000000,00000000,00000000,00000016,00000128,00000953,00000012,00001179,00000198,00000327,00000000,00000305,00000000,00000000,00000000,00007951,00000000,00000897,00000000,                                                                                                    
R098,CHURCH AVENUE                 ,00027754,00002172,00000560,00000831,00000022,00024605,00026618,00000000,00000000,00000000,00000026,00000233,00000936,00000013,00003450,00000281,00000615,00000001,00000230,00000000,00000000,00000000,00005870,00000000,00000796,00000000,                                                                                                    
R099,DEKALB AVENUE                 ,00040871,00002555,00000392,00001317,00000034,00018981,00043101,00000000,00000000,00000000,00000077,00000570,00000660,00000051,00006127,00001487,00001085,00000000,00000565,00000000,00000000,00000000,00011062,00000000,00000440,00000000,                                                                                                    
R100,METROPOLITAN AVENUE           ,00005923,00000349,00000064,00000178,00000001,00003905,00004559,00000000,00000000,00000000,00000006,00000118,00000135,00000001,00000415,00000126,00000042,00000000,00000021,00000000,00000000,00000000,00001671,00000000,00000089,00000000,                                                                                                    
R101,145TH STREET                  ,00037716,00002124,00000442,00000906,00000018,00038898,00045810,00000000,00000000,00000000,00000069,00000219,00000943,00000021,00004444,00000652,00001074,00000000,00000526,00000000,00000000,00000000,00006790,00000000,00000702,00000000,                                                                                                    
R102,125TH STREET                  ,00050256,00003419,00000840,00001397,00000065,00043413,00046358,00000000,00000000,00000000,00000101,00000345,00001688,00000070,00005445,00000887,00001012,00000000,00000799,00000000,00000000,00000000,00008443,00000004,00000908,00000000,                                                                                                    
R103,BROADWAY-EAST NEW YORK        ,00015836,00000835,00000313,00000385,00000015,00015983,00009191,00000000,00000000,00000000,00000010,00000050,00000559,00000011,00001042,00000083,00000118,00000000,00000158,00000000,00000000,00000000,00002657,00000000,00000370,00000000,                                                                                                    
R104,167TH ST-GRAND CONCOURSE      ,00015474,00000854,00000223,00000272,00000003,00018134,00009627,00000000,00000000,00000000,00000011,00000052,00000619,00000008,00001178,00000063,00000173,00000000,00000148,00000000,00000000,00000000,00003797,00000000,00000575,00000000,                                                                                                    
R105,14TH STREET & 7TH AVENUE      ,00054059,00006229,00000435,00001360,00000095,00026177,00038745,00000000,00000000,00000000,00000168,00000900,00000710,00000155,00005654,00002317,00001203,00000000,00001075,00000000,00000000,00000000,00003499,00000000,00000242,00000000,                                                                                                    
R106,CASTLE HILL AVENUE            ,00012392,00000755,00000113,00000162,00000001,00010003,00007133,00000000,00000000,00000000,00000026,00000118,00000373,00000002,00000994,00000088,00000078,00000000,00000055,00000000,00000000,00000000,00003125,00000000,00000433,00000000,                                                                                                    
R107,WESTCHESTER SQUARE            ,00009773,00000670,00000168,00000293,00000000,00008174,00006291,00000000,00000000,00000000,00000076,00000056,00000378,00000006,00000786,00000138,00000071,00000000,00000055,00000000,00000000,00000000,00003058,00000000,00000196,00000000,                                                                                                    
R108,BOROUGH HALL - COURT STREET   ,00072019,00007727,00000683,00001672,00000247,00028215,00054532,00000000,00000000,00000000,00000383,00000894,00001309,00000357,00008178,00002484,00001495,00000000,00000813,00000000,00000000,00000000,00006163,00000000,00001271,00000000,                                                                                                    
R109,CHURCH AVENUE & NOSTRAND AV   ,00018973,00001346,00000391,00000588,00000002,00015340,00012468,00000000,00000000,00000000,00000022,00000118,00000635,00000010,00001944,00000103,00000267,00000000,00000160,00000000,00000000,00000000,00003890,00000000,00000438,00000000,                                                                                                    
R110,FLATBUSH AVE & NOSTRAND AV    ,00031414,00002325,00000797,00001021,00000032,00025544,00026109,00000000,00000000,00000000,00000078,00000353,00000729,00000008,00003532,00000519,00000381,00000000,00000179,00000000,00000000,00000000,00005562,00000000,00000956,00000000,                                                                                                    
