     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,03/09/2019-03/15/2019,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,                                                                   
R017,LEXINGTON AVENUE              ,00094711,00006002,00000349,00000958,00000684,00026154,00054141,00000000,00000000,00000000,00000230,00001968,00000984,00000942,00007699,00004647,00001724,00000000,00001597,00000000,00000000,00000000,00004471,00000000,00000205,00000000,                                                                                                    
R018,ROOSEVELT AVE/JACKSON HTS     ,00086052,00008103,00001470,00003415,00000032,00073977,00096632,00000000,00000000,00000000,00000077,00000638,00002497,00000047,00007063,00001480,00001454,00000000,00001136,00000000,00000000,00000000,00009911,00000000,00001453,00000000,                                                                                                    
R019,179TH STREET & HILLSIDE AVE   ,00029308,00002157,00000483,00001081,00000010,00020357,00026195,00000000,00000000,00000000,00000057,00000596,00000925,00000011,00002799,00000582,00000288,00000000,00000213,00000000,00000000,00000000,00004162,00000000,00000764,00000000,                                                                                                    
R020,47-50 STREETS/ROCKEFELLER     ,00144334,00009242,00000510,00001467,00000610,00054248,00088402,00000000,00000001,00000000,00000540,00003981,00001394,00000622,00016657,00006170,00002782,00000000,00002665,00000000,00000000,00000000,00002524,00000000,00000485,00000000,                                                                                                    
R021,42ND STREET & 6TH AVENUE      ,00093195,00004895,00000435,00001188,00000117,00038327,00074017,00000000,00000000,00000000,00000658,00002900,00000704,00000105,00011195,00003806,00002214,00000000,00001644,00000000,00000000,00000000,00002159,00000000,00000465,00000000,                                                                                                    
R022,34TH STREET & 6TH AVENUE      ,00177396,00010167,00000860,00002363,00000849,00079963,00115917,00000000,00000000,00000001,00000795,00002562,00002473,00000855,00014248,00005370,00003122,00000000,00003363,00000001,00000000,00000000,00003989,00000000,00001016,00000000,                                                                                                    
R023,34TH STREET & 6TH AVENUE      ,00147162,00007350,00000592,00001492,00000568,00045317,00089369,00000000,00000000,00000000,00000282,00003002,00001551,00000639,00010034,00005646,00002709,00000000,00001870,00000000,00000000,00000000,00002548,00000000,00000417,00000000,                                                                                                    
R024,SUTPHIN BOULEVARD             ,00043077,00002547,00000466,00000773,00000380,00031778,00020149,00000000,00000000,00000000,00000041,00000333,00001146,00000333,00001824,00000799,00000287,00000000,00012248,00000000,00000000,00000000,00002961,00000000,00000785,00000000,                                                                                                    
R025,JAMAICA CENTER-PARSONS BLVD   ,00044827,00002296,00000819,00001596,00000016,00050194,00032663,00000000,00000000,00000000,00000057,00000326,00001673,00000025,00004447,00000685,00000411,00000000,00000384,00000000,00000000,00000000,00007048,00000000,00001715,00000000,                                                                                                    
R027,WALL STREET                   ,00060139,00002948,00000188,00000496,00001040,00014918,00037771,00000000,00000000,00000000,00000159,00001129,00000289,00001519,00005599,00002915,00001213,00000000,00000936,00000000,00000000,00000000,00001674,00000000,00000111,00000000,                                                                                                    
R028,FULTON & WILLIAM STREETS      ,00064308,00004299,00000372,00001195,00000387,00024325,00047575,00000000,00000000,00000000,00000190,00001075,00000595,00000595,00008250,00002331,00001447,00000000,00001328,00000000,00000000,00000000,00003011,00000000,00000278,00000000,                                                                                                    
R029,PARK PLACE                    ,00125040,00006301,00000461,00001446,00000886,00040096,00070811,00000000,00000000,00000000,00001501,00002211,00001230,00001254,00010356,00004646,00002485,00000000,00002625,00000000,00000000,00000000,00006780,00000000,00006663,00000000,                                                                                                    
R030,CHAMBERS STREET               ,00047162,00003235,00000267,00000659,00000533,00017501,00030821,00000000,00000000,00000000,00000240,00000841,00000530,00000747,00004107,00002126,00000925,00000000,00000590,00000000,00000000,00000000,00009851,00000000,00005361,00000000,                                                                                                    
R031,34TH STREET & 7TH AVENUE      ,00109698,00005998,00000447,00001026,00002193,00028575,00039504,00000000,00000000,00000000,00000261,00001408,00001214,00002990,00005514,00005285,00001325,00000000,00001352,00000000,00000000,00000000,00002779,00000000,00000496,00000000,                                                                                                    
R032,42ND STREET/TIMES SQUARE      ,00096983,00005449,00000416,00001244,00000168,00036561,00074384,00000000,00000000,00000000,00000380,00002181,00000650,00000124,00009187,00004157,00002332,00000000,00001470,00000000,00000000,00000000,00001326,00000000,00000290,00000000,                                                                                                    
R033,42ND STREET/TIMES SQUARE      ,00161944,00009282,00000801,00001718,00000491,00076121,00075917,00000000,00000000,00000000,00001376,00002190,00002542,00000395,00011380,00004911,00002311,00000000,00003565,00000000,00000000,00000000,00006021,00000000,00001045,00000000,                                                                                                    
R034,125TH STREET & BROADWAY       ,00014905,00001476,00000108,00000373,00000040,00009461,00011975,00000000,00000000,00000000,00000035,00000114,00000413,00000023,00001155,00000418,00000330,00000000,00000269,00000000,00000000,00000000,00002150,00000000,00000151,00000000,                                                                                                    
R035,168TH STREET & BROADWAY       ,00043254,00003585,00000408,00000663,00000071,00024530,00035219,00000000,00000000,00000000,00000092,00000370,00001212,00000114,00003257,00001211,00001165,00000000,00000626,00000000,00000000,00000000,00004898,00000000,00000368,00000000,                                                                                                    
R036,DYCKMAN STREET                ,00012696,00001775,00000184,00000375,00000007,00012804,00008929,00000000,00000000,00000000,00000017,00000086,00000900,00000002,00000908,00000114,00000099,00000000,00000086,00000000,00000000,00000000,00003314,00000000,00000296,00000000,                                                                                                    
R037,207TH STREET                  ,00008173,00000901,00000212,00000228,00000000,00013006,00007074,00000000,00000000,00000000,00000017,00000028,00000473,00000003,00000729,00000047,00000085,00000000,00000046,00000000,00000000,00000000,00002285,00000000,00000324,00000000,                                                                                                    
R038,215TH STREET                  ,00003184,00000432,00000034,00000117,00000007,00002191,00002921,00000000,00000000,00000001,00000006,00000056,00000153,00000003,00000319,00000061,00000100,00000000,00000039,00000000,00000000,00000000,00000593,00000000,00000057,00000000,                                                                                                    
R039,225TH STREET                  ,00010687,00000884,00000104,00000182,00000050,00008711,00005879,00000000,00000000,00000000,00000014,00000040,00000366,00000036,00000641,00000177,00000153,00000000,00000087,00000000,00000000,00000000,00002701,00000000,00000238,00000000,                                                                                                    
R040,231ST STREET                  ,00016639,00002138,00000313,00000679,00000002,00014038,00013161,00000000,00000000,00000000,00000102,00000117,00001018,00000009,00001654,00000331,00000202,00000000,00000098,00000000,00000000,00000000,00002673,00000000,00000355,00000000,                                                                                                    
R041,BOWLING GREEN & BATTERY PL    ,00045111,00003305,00000332,00000773,00000521,00018750,00031592,00000000,00000000,00000000,00001674,00000817,00000591,00000742,00005320,00001956,00000885,00000000,00000677,00000000,00000000,00000000,00004257,00000000,00000276,00000000,                                                                                                    
R042,BOWLING GREEN & BROADWAY      ,00008577,00000318,00000048,00000108,00000073,00006288,00004136,00000000,00000000,00000000,00000209,00000087,00000063,00000108,00000538,00000244,00000098,00000000,00000275,00000000,00000000,00000000,00000492,00000000,00000100,00000000,                                                                                                    
R043,WALL STREET                   ,00045119,00002679,00000133,00000396,00000376,00014787,00030312,00000000,00000000,00000000,00001030,00000773,00000301,00000804,00003719,00001801,00000845,00000000,00000690,00000000,00000000,00000001,00001964,00000000,00000099,00000000,                                                                                                    
R044,BROOKLYN BRIDGE               ,00072939,00005528,00000308,00001177,00000332,00029834,00045437,00000000,00000000,00000000,00000395,00000938,00000846,00000704,00006388,00002347,00001274,00000000,00001412,00000000,00000000,00000000,00005243,00000000,00001644,00000000,                                                                                                    
R045,42ND STREET & GRAND CENTRAL   ,00079186,00004606,00000181,00000420,00001542,00011600,00026393,00000000,00000000,00000000,00000214,00001191,00000374,00001933,00003638,00004024,00000977,00000000,00000687,00000000,00000000,00000000,00000692,00000000,00000144,00000000,                                                                                                    
R046,42ND STREET & GRAND CENTRAL   ,00224361,00011120,00000596,00001352,00002882,00053483,00092621,00000000,00000000,00000000,00000663,00002944,00002357,00003791,00013722,00008893,00002917,00000000,00003338,00000000,00000000,00000000,00002380,00000000,00000554,00000000,                                                                                                    
R047,42ND STREET & GRAND CENTRAL   ,00104902,00005852,00000398,00000926,00000862,00030810,00068169,00000000,00000000,00000000,00000559,00002167,00000486,00001532,00010174,00004878,00001981,00000000,00001178,00000000,00000000,00000000,00001667,00000000,00000314,00000000,                                                                                                    
R048,42ND STREET & 3RD AVENUE      ,00033666,00001749,00000082,00000303,00000332,00008087,00021370,00000000,00000000,00000000,00000069,00000628,00000178,00000328,00002263,00001760,00000601,00000000,00000342,00000000,00000000,00000000,00000449,00000000,00000067,00000000,                                                                                                    
R049,51ST STREET & LEXINGTON AVE   ,00050670,00003006,00000243,00000512,00000117,00019384,00031784,00000000,00000000,00000000,00000263,00001124,00000335,00000097,00005636,00002077,00000944,00000000,00001088,00000000,00000000,00000000,00000847,00000000,00000143,00000000,                                                                                                    
R050,59TH STREET & LEXINGTON AVE   ,00052264,00004071,00000285,00000750,00000220,00020130,00037796,00000000,00000000,00000000,00000329,00001099,00000659,00000389,00005789,00002428,00001061,00000000,00000672,00000000,00000000,00000000,00001547,00000000,00000186,00000000,                                                                                                    
R051,59TH STREET & LEXINGTON AVE   ,00061364,00005058,00000401,00000994,00000139,00036048,00047691,00000000,00000000,00000000,00000239,00001020,00000666,00000241,00006844,00002184,00001398,00000000,00000694,00000000,00000000,00000000,00004244,00000000,00000404,00000000,                                                                                                    
R052,WOODLAWN ROAD                 ,00008148,00000612,00000218,00000497,00000002,00009306,00006035,00000000,00000000,00000000,00000017,00000066,00000558,00000003,00000668,00000120,00000033,00000000,00000037,00000000,00000000,00000000,00001100,00000000,00000417,00000000,                                                                                                    
R053,149TH STREET & 3RD AVENUE     ,00035582,00002172,00000614,00000956,00000026,00040758,00020836,00000000,00000000,00000000,00000052,00000123,00001569,00000006,00002952,00000216,00000212,00000000,00000170,00000000,00000000,00000000,00009552,00000000,00001184,00000000,                                                                                                    
R054,FIFTH AVENUE & 42ND STREET    ,00029847,00001485,00000161,00000365,00000154,00011703,00021101,00000000,00000000,00000000,00000193,00000653,00000295,00000088,00002851,00001039,00000630,00000000,00000470,00000000,00000000,00000000,00000612,00000000,00000127,00000000,                                                                                                    
R055,MAIN STREET                   ,00082326,00009885,00001053,00005547,00000036,00056221,00097414,00000000,00000000,00000000,00000153,00000719,00002734,00000031,00004768,00001019,00000657,00000000,00000774,00000000,00000000,00000000,00011410,00000000,00002145,00000000,                                                                                                    
R056,NEVINS STREET                 ,00019629,00001705,00000358,00000470,00000020,00011919,00014927,00000000,00000000,00000000,00000090,00000197,00000479,00000020,00002558,00000528,00000451,00000000,00000197,00000000,00000000,00000000,00003870,00000002,00000226,00000000,                                                                                                    
R057,BARCLAYS CENTER               ,00102201,00006727,00000919,00002046,00001647,00046494,00065941,00000000,00000000,00000000,00000170,00001088,00001770,00001924,00009030,00003688,00001865,00000000,00001661,00000000,00000000,00000000,00019032,00000000,00001045,00000000,                                                                                                    
R058,BERGEN STREET                 ,00006357,00000606,00000053,00000148,00000004,00002890,00007340,00000000,00000000,00000000,00000004,00000080,00000061,00000001,00001282,00000326,00000266,00000000,00000099,00000000,00000000,00000000,00000904,00000000,00000028,00000000,                                                                                                    
R059,GRAND ARMY PLAZA              ,00013085,00002241,00000176,00000399,00000016,00005268,00012918,00000000,00000000,00000000,00000015,00000266,00000385,00000015,00002196,00000532,00000478,00000000,00000202,00000000,00000000,00000000,00002493,00000000,00000077,00000000,                                                                                                    
R060,EASTERN PARKWAY               ,00008762,00001254,00000105,00000246,00000009,00004830,00008125,00000000,00000000,00000000,00000014,00000100,00000205,00000004,00001468,00000257,00000260,00000000,00000194,00000000,00000000,00000000,00001469,00000000,00000053,00000000,                                                                                                    
R061,NOSTRAND AVENUE               ,00006525,00000598,00000166,00000179,00000006,00005591,00006407,00000000,00000000,00000000,00000005,00000054,00000261,00000004,00000917,00000092,00000122,00000000,00000078,00000000,00000000,00000000,00002184,00000000,00000229,00000000,                                                                                                    
R062,UTICA AVENUE                  ,00044943,00003115,00001005,00001453,00000008,00041502,00033905,00000000,00000000,00000000,00000037,00000315,00001347,00000019,00005092,00000415,00000749,00000000,00000273,00000000,00000000,00000000,00008309,00000004,00001225,00000000,                                                                                                    
R063,SUTTER AVENUE                 ,00011827,00000870,00000242,00000231,00000013,00010090,00006351,00000000,00000000,00000000,00000005,00000070,00000488,00000000,00000701,00000068,00000166,00000000,00000054,00000000,00000000,00000000,00003818,00000000,00000327,00000000,                                                                                                    
R064,SARATOGA AVENUE               ,00010018,00000674,00000131,00000171,00000000,00007672,00004960,00000000,00000000,00000000,00000010,00000077,00000328,00000000,00000572,00000044,00000110,00000000,00000042,00000000,00000000,00000000,00003272,00000002,00000289,00000000,                                                                                                    
R065,ROCKAWAY AVENUE               ,00008323,00000736,00000199,00000236,00000001,00006848,00003521,00000000,00000000,00000000,00000011,00000030,00000841,00000003,00000529,00000034,00000663,00000000,00000047,00000001,00000000,00000000,00003391,00000000,00000235,00000000,                                                                                                    
R066,JUNIUS STREET                 ,00003510,00000393,00000062,00000104,00000001,00003519,00001839,00000000,00000000,00000000,00000001,00000018,00000184,00000001,00000162,00000016,00000029,00000000,00000020,00000000,00000000,00000000,00001806,00000000,00000118,00000000,                                                                                                    
R067,PENNSYLVANIA AVENUE           ,00007923,00000556,00000163,00000187,00000001,00006663,00003436,00000000,00000000,00000000,00000011,00000039,00000346,00000000,00000531,00000033,00000059,00000000,00000042,00000000,00000000,00000000,00003216,00000000,00000170,00000000,                                                                                                    
R068,VAN SICLEN AVENUE             ,00005062,00000389,00000086,00000109,00000000,00004102,00002387,00000000,00000000,00000000,00000006,00000034,00000238,00000000,00000367,00000025,00000078,00000000,00000019,00000001,00000000,00000000,00001503,00000000,00000149,00000000,                                                                                                    
R069,NEW LOTS AVENUE               ,00008337,00000643,00000211,00000189,00000004,00008370,00004550,00000000,00000000,00000000,00000012,00000025,00000422,00000000,00000713,00000054,00000062,00000000,00000061,00000001,00000000,00000000,00002447,00000000,00000280,00000000,                                                                                                    
R070,ST GEORGE TERMINAL            ,00029817,00001926,00000108,00000461,00000002,00004931,00009638,00000000,00000000,00000000,00000212,00000994,00000139,00000004,00001109,00002109,00000197,00000000,00000112,00000000,00000000,00000000,00003211,00000000,00000268,00000000,                                                                                                    
R072,34TH STREET - HUDSON YARDS    ,00043464,00001800,00000174,00000394,00000157,00016209,00020345,00000000,00000000,00000000,00000202,00000460,00000405,00000088,00003097,00001361,00000626,00000000,00000597,00000000,00000000,00000000,00000717,00000000,00000114,00000000,                                                                                                    
R079,FIFTH AVENUE & 60TH STREET    ,00038928,00002589,00000188,00000452,00000194,00014947,00021784,00000000,00000000,00000000,00000282,00000740,00000401,00000278,00003866,00001635,00000700,00000000,00000658,00000000,00000000,00000000,00000618,00000000,00000124,00000000,                                                                                                    
R080,57TH STREET & 7TH AVENUE      ,00080057,00007253,00000380,00001401,00000148,00034919,00064884,00000000,00000000,00000000,00000344,00001509,00000947,00000227,00010000,00003602,00001979,00000000,00001379,00000000,00000000,00000000,00003032,00000000,00000433,00000000,                                                                                                    
R081,49TH STREET & 7TH AVENUE      ,00054689,00002691,00000255,00000672,00000064,00026509,00036853,00000000,00000000,00000001,00000291,00001258,00000444,00000075,00006862,00002009,00000945,00000000,00001269,00000000,00000000,00000000,00002197,00000000,00000140,00000000,                                                                                                    
R082,28TH STREET & BROADWAY        ,00027517,00001211,00000138,00000323,00000040,00013276,00022441,00000000,00000000,00000000,00000131,00000500,00000256,00000035,00002861,00001063,00000719,00000000,00000569,00000000,00000000,00000000,00000523,00000000,00000077,00000000,                                                                                                    
R083,23RD STREET & 5TH AVENUE      ,00048193,00002473,00000209,00000531,00000122,00020016,00040103,00000000,00000000,00000000,00000450,00000897,00000382,00000102,00005178,00002076,00001263,00000000,00000783,00000000,00000000,00000000,00001992,00000000,00000172,00000000,                                                                                                    
R084,59TH STREET/COLUMBUS CIRCLE   ,00178972,00013970,00000984,00002934,00000525,00083289,00120632,00000000,00000000,00000000,00000543,00002315,00002300,00000711,00014132,00006554,00003610,00000000,00003738,00000000,00000000,00000000,00016419,00000000,00002670,00000000,                                                                                                    
R085,8TH STREET & BROADWAY         ,00038180,00002576,00000130,00000413,00000067,00013495,00029081,00000000,00000000,00000000,00000120,00000634,00000247,00000080,00004260,00001503,00000777,00000000,00000730,00000000,00000000,00000000,00001616,00000000,00000111,00000000,                                                                                                    
R086,PRINCE STREET & BROADWAY      ,00028427,00001206,00000100,00000204,00000031,00012758,00018843,00000000,00000000,00000000,00000105,00000380,00000188,00000043,00002358,00000885,00000556,00000000,00000658,00000000,00000000,00000000,00000717,00000000,00000131,00000000,                                                                                                    
R087,CITY HALL                     ,00013064,00001196,00000098,00000317,00000013,00004536,00010336,00000000,00000000,00000000,00000123,00000242,00000152,00000023,00001284,00000524,00000347,00000000,00000170,00000000,00000000,00000000,00001471,00000000,00000375,00000000,                                                                                                    
R088,CORTLANDT STREET              ,00053148,00001642,00000153,00000386,00000038,00017128,00027815,00000000,00000000,00000000,00000265,00001150,00000248,00000065,00004803,00001858,00000997,00000000,00001202,00000000,00000000,00000000,00001096,00000000,00000462,00000000,                                                                                                    
R089,JAY ST-METROTECH              ,00009325,00000464,00000049,00000109,00000003,00002715,00007268,00000000,00000000,00000000,00000072,00000169,00000114,00000006,00000868,00000406,00000206,00000000,00000157,00000000,00000000,00000000,00000836,00000000,00000104,00000000,                                                                                                    
R090,39TH AVENUE & 31ST STREET     ,00004906,00000325,00000035,00000077,00000002,00003758,00003304,00000000,00000000,00000000,00000012,00000048,00000209,00000001,00000436,00000127,00000110,00000000,00000199,00000000,00000000,00000000,00000269,00000000,00000016,00000000,                                                                                                    
R091,36TH AVENUE & 31ST STREET     ,00011825,00000861,00000077,00000179,00000010,00006926,00012202,00000000,00000000,00000000,00000013,00000146,00000368,00000010,00001322,00000302,00000382,00000000,00000134,00000000,00000000,00000000,00002433,00000000,00000109,00000000,                                                                                                    
R092,BROADWAY & 31ST STREET        ,00018878,00001422,00000143,00000367,00000003,00009325,00021957,00000000,00000000,00000000,00000009,00000271,00000514,00000011,00002984,00000593,00000804,00000000,00000280,00000000,00000000,00000000,00002813,00000000,00000144,00000000,                                                                                                    
R093,30TH AVENUE & 31ST STREET     ,00024154,00001443,00000173,00000319,00000007,00013069,00027621,00000000,00000000,00000000,00000026,00000230,00000537,00000024,00003820,00000648,00000950,00000000,00000259,00000000,00000000,00000000,00002106,00000000,00000196,00000000,                                                                                                    
R094,ASTORIA BLVD & 31ST STREET    ,00021415,00001158,00000130,00000288,00000021,00011189,00021458,00000000,00000000,00000000,00000019,00000290,00000401,00000003,00002947,00000587,00000641,00000000,00000203,00000000,00000000,00000000,00001892,00000000,00000179,00000000,                                                                                                    
R095,DITMARS BLVD & 31ST STREET    ,00031734,00001911,00000169,00000348,00000017,00014733,00031475,00000000,00000000,00000000,00000019,00000441,00000961,00000011,00003863,00000850,00000868,00000000,00000249,00000000,00000000,00000000,00003743,00000000,00000223,00000000,                                                                                                    
R096,82ND STREET-JACKSON HEIGHTS   ,00028258,00003041,00000446,00000774,00000013,00025860,00019244,00000000,00000000,00000000,00000009,00000189,00001251,00000006,00001349,00000267,00000315,00000000,00000264,00000000,00000000,00000000,00004771,00000000,00000607,00000000,                                                                                                    
R097,JUNCTION BLVD-ROOSEVELT AVE   ,00047843,00001874,00000324,00000616,00000020,00046679,00020839,00000000,00000000,00000000,00000018,00000149,00000899,00000008,00001126,00000191,00000336,00000000,00000291,00000000,00000000,00000000,00008018,00000000,00000833,00000000,                                                                                                    
R098,CHURCH AVENUE                 ,00027915,00002293,00000548,00000862,00000021,00024226,00026730,00000000,00000000,00000000,00000021,00000261,00000879,00000013,00003460,00000343,00000659,00000000,00000214,00000000,00000000,00000000,00006063,00000000,00000786,00000000,                                                                                                    
R099,DEKALB AVENUE                 ,00038581,00002472,00000394,00001240,00000040,00018273,00042426,00000000,00000000,00000000,00000094,00000534,00000615,00000055,00006274,00001474,00001093,00000000,00000581,00000000,00000000,00000000,00010985,00000000,00000440,00000000,                                                                                                    
R100,METROPOLITAN AVENUE           ,00006013,00000367,00000061,00000176,00000002,00003824,00004536,00000000,00000000,00000000,00000007,00000117,00000139,00000001,00000421,00000146,00000038,00000000,00000025,00000000,00000000,00000000,00001798,00000000,00000095,00000000,                                                                                                    
R101,145TH STREET                  ,00038463,00002160,00000396,00000870,00000023,00039018,00045734,00000000,00000000,00000000,00000067,00000188,00000906,00000021,00004443,00000623,00001083,00000000,00000487,00000000,00000000,00000000,00006784,00000000,00000683,00000000,                                                                                                    
R102,125TH STREET                  ,00052676,00003594,00000880,00001428,00000076,00044999,00047611,00000000,00000000,00000000,00000105,00000331,00001765,00000058,00005556,00000977,00001081,00000000,00000836,00000000,00000000,00000000,00008659,00000000,00000848,00000000,                                                                                                    
R103,BROADWAY-EAST NEW YORK        ,00016751,00000873,00000318,00000404,00000018,00016619,00009347,00000000,00000000,00000000,00000021,00000051,00000649,00000008,00001059,00000080,00000103,00000000,00000171,00000000,00000000,00000000,00002881,00000000,00000381,00000000,                                                                                                    
R104,167TH ST-GRAND CONCOURSE      ,00015065,00000883,00000234,00000273,00000005,00017927,00009317,00000000,00000000,00000000,00000009,00000049,00000647,00000004,00001141,00000055,00000165,00000000,00000133,00000000,00000002,00000000,00003628,00000000,00000561,00000000,                                                                                                    
R105,14TH STREET & 7TH AVENUE      ,00055376,00006522,00000420,00001374,00000107,00025928,00039898,00000000,00000000,00000000,00000131,00000960,00000634,00000166,00005565,00002395,00001229,00000000,00001043,00000000,00000000,00000000,00004180,00000000,00000242,00000000,                                                                                                    
R106,CASTLE HILL AVENUE            ,00011650,00000687,00000112,00000173,00000000,00009397,00006680,00000000,00000000,00000000,00000033,00000107,00000404,00000000,00001026,00000096,00000080,00000000,00000052,00000000,00000000,00000000,00003035,00000000,00000385,00000000,                                                                                                    
R107,WESTCHESTER SQUARE            ,00009550,00000690,00000164,00000282,00000002,00007748,00006100,00000000,00000000,00000000,00000080,00000060,00000417,00000007,00000753,00000114,00000066,00000000,00000055,00000000,00000000,00000000,00002945,00000000,00000207,00000000,                                                                                                    
R108,BOROUGH HALL - COURT STREET   ,00077950,00008045,00000671,00001724,00000283,00029968,00056914,00000000,00000001,00000000,00000419,00001051,00001344,00000342,00008437,00002793,00001587,00000000,00000797,00000000,00000000,00000000,00008031,00000000,00001242,00000000,                                                                                                    
R109,CHURCH AVENUE & NOSTRAND AV   ,00018495,00001378,00000380,00000510,00000000,00014635,00011315,00000000,00000000,00000000,00000014,00000138,00000695,00000007,00001665,00000112,00000256,00000000,00000126,00000000,00000000,00000000,00003591,00000000,00000391,00000000,                                                                                                    
R110,FLATBUSH AVE & NOSTRAND AV    ,00032193,00002430,00000827,00001025,00000041,00025749,00026157,00000000,00000000,00000000,00000095,00000379,00000757,00000009,00003559,00000581,00000418,00000000,00000167,00000000,00000000,00000000,00005768,00000000,00000936,00000000,                                                                                                    
