     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,03/09/2019-03/15/2019,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,                                                                   
R001,WHITEHALL STREET              ,00065279,00002999,00000472,00001152,00000282,00030394,00037867,00000000,00000000,00000000,00000492,00001039,00000756,00000389,00006691,00002324,00000869,00000000,00001533,00000000,00000000,00000000,00003643,00000000,00000799,00000000,                                                                                                    
R003,CYPRESS HILLS                 ,00002551,00000161,00000013,00000035,00000000,00002161,00001196,00000000,00000000,00000000,00000001,00000012,00000057,00000005,00000083,00000030,00000027,00000000,00000014,00000000,00000000,00000000,00000908,00000000,00000074,00000000,                                                                                                    
R004,75TH STREET & ELDERTS LANE    ,00006097,00000424,00000050,00000120,00000000,00004191,00003206,00000000,00000000,00000000,00000000,00000042,00000161,00000004,00000290,00000046,00000077,00000000,00000039,00000000,00000000,00000000,00003220,00000000,00000096,00000000,                                                                                                    
R005,85TH STREET & FOREST PKWAY    ,00006889,00000539,00000048,00000153,00000001,00004265,00003729,00000000,00000000,00000000,00000004,00000052,00000242,00000004,00000243,00000061,00000078,00000000,00000071,00000000,00000000,00000000,00001685,00000000,00000153,00000000,                                                                                                    
R006,WOODHAVEN BOULEVARD           ,00007016,00000505,00000072,00000155,00000000,00005811,00004388,00000000,00000000,00000000,00000008,00000060,00000168,00000015,00000332,00000069,00000080,00000000,00000050,00000000,00000000,00000000,00002098,00000000,00000162,00000000,                                                                                                    
R007,104TH STREET                  ,00006185,00000393,00000027,00000084,00000002,00003839,00002744,00000000,00000000,00000000,00000002,00000049,00000143,00000002,00000191,00000062,00000039,00000000,00000031,00000000,00000000,00000000,00001812,00000000,00000175,00000000,                                                                                                    
R009,121ST STREET                  ,00004109,00000282,00000035,00000113,00000007,00003102,00002052,00000000,00000000,00000000,00000001,00000030,00000129,00000000,00000118,00000060,00000028,00000000,00000024,00000000,00000000,00000000,00000935,00000000,00000067,00000000,                                                                                                    
R010,42ND STREET & 8TH AVENUE      ,00089132,00005355,00000480,00001134,00000114,00049759,00051144,00000000,00000000,00000000,00000637,00000889,00001159,00000114,00005572,00002283,00001449,00000000,00002690,00000000,00000002,00000000,00007169,00000000,00000499,00000000,                                                                                                    
R011,42ND STREET & 8TH AVENUE      ,00245631,00011342,00000688,00001842,00000082,00048267,00070949,00000000,00000000,00000000,00000376,00002989,00004923,00000076,00007206,00007973,00002191,00000000,00003430,00000000,00000000,00000000,00002983,00000000,00000491,00000000,                                                                                                    
R012,34TH STREET & 8TH AVENUE      ,00205092,00009116,00000714,00001544,00003365,00045808,00069400,00000000,00000001,00000000,00000321,00002367,00002931,00004083,00007945,00008911,00002269,00000000,00003599,00000000,00000000,00000000,00003131,00000000,00000628,00000000,                                                                                                    
R013,34TH STREET & 8TH AVENUE      ,00055292,00002497,00000218,00000745,00000826,00020344,00031934,00000000,00000000,00000000,00000247,00000855,00000476,00001315,00004074,00002496,00000937,00000000,00001225,00000000,00000000,00000000,00001070,00000000,00000288,00000000,                                                                                                    
R014,FULTON STREET                 ,00165000,00005500,00000507,00001117,00000867,00054166,00086847,00000000,00000000,00000000,00000608,00002866,00000949,00001409,00014338,00005634,00002580,00000000,00002984,00000000,00000000,00000000,00007126,00000000,00002343,00000000,                                                                                                    
R015,FIFTH AVENUE                  ,00075384,00003365,00000120,00000519,00000805,00017043,00032465,00000000,00000000,00000000,00000189,00002162,00000407,00001067,00005543,00004549,00001134,00000000,00001572,00000000,00000000,00000000,00000519,00000000,00000211,00000000,                                                                                                    
R016,LEXINGTON AVENUE              ,00017883,00001043,00000060,00000176,00000059,00005510,00010878,00000000,00000000,00000000,00000072,00000416,00000118,00000103,00001557,00000867,00000354,00000000,00000238,00000000,00000000,00000000,00000268,00000000,00000082,00000000,                                                                                                    
